family,n,window,side,multiplier,r_squared,residual,points,bulk_multiplier,distance_from_bulk,noise_floor
G6,258,2-8,left,0.38056063881300556,0.9955624187745534,0.11649003644213382,7,0.35050611613292243,0.03005452268008313,1.377279657271719e-06
G6,258,2-8,right,0.3514982491577559,0.9999958558021536,0.00012684997340101193,7,0.35050611613292243,0.0009921330248334748,1.377279657271719e-06
G6,258,2-10,left,0.3698370646360139,0.9973155125549865,0.15979307207156762,9,0.35050611613292243,0.019330948503091472,1.377279657271719e-06
G6,258,2-10,right,0.3511554757588086,0.9999973014604125,0.00017732967946555397,9,0.35050611613292243,0.0006493596258861922,1.377279657271719e-06
G6,258,2-12,left,0.36394947768230523,0.9982770012427044,0.19395709815528284,11,0.35050611613292243,0.013443361549382804,1.377279657271719e-06
G6,258,2-12,right,0.3509594882241741,0.9999981862081821,0.0002187481337592782,11,0.35050611613292243,0.0004533720912516803,1.377279657271719e-06
G6,258,3-10,left,0.358105325651117,0.9996768846735942,0.014316184925415948,8,0.35050611613292243,0.007599209518194594,1.377279657271719e-06
G6,258,3-10,right,0.3507816947663529,0.9999995977980295,1.8538617475925528e-05,8,0.35050611613292243,0.0002755786334304733,1.377279657271719e-06
G6,258,3-12,left,0.3556508727352394,0.999791459552358,0.018391311159443764,10,0.35050611613292243,0.005144756602316947,1.377279657271719e-06
G6,258,3-12,right,0.35069027338659237,0.9999997303952647,2.4422007280970658e-05,10,0.35050611613292243,0.00018415725366993652,1.377279657271719e-06
G6,514,2-8,left,0.3813691912900265,0.995207006951532,0.12531241232822082,7,0.35050611613292243,0.03086307515710407,1.2790868635996347e-10
G6,514,2-8,right,0.35152523721673923,0.999995632006842,0.00013368053088886562,7,0.35050611613292243,0.0010191210838167986,1.2790868635996347e-10
G6,514,2-10,left,0.3703301083406086,0.9971194469658604,0.17103842982027748,9,0.35050611613292243,0.01982399220768616,1.2790868635996347e-10
G6,514,2-10,right,0.351173322748605,0.9999971558601406,0.00018687941476433617,9,0.35050611613292243,0.0006672066156825918,1.2790868635996347e-10
G6,514,2-12,left,0.36428286169300356,0.998158044214551,0.20699720682777406,11,0.35050611613292243,0.013776745560081127,1.2790868635996347e-10
G6,514,2-12,right,0.3509745258822386,0.9999980975554259,0.00022942113627425558,11,0.35050611613292243,0.00046840974931616763,1.2790868635996347e-10
G6,514,3-10,left,0.3581532562470283,0.9996716658094618,0.014543700095921451,8,0.35050611613292243,0.007647140114105888,1.2790868635996347e-10
G6,514,3-10,right,0.35078962744201003,0.999999575506521,1.956525136781213e-05,8,0.35050611613292243,0.0002835113090876029,1.2790868635996347e-10
G6,514,3-12,left,0.35568355992812695,0.9997882825118101,0.01866823606228311,10,0.35050611613292243,0.005177443795204517,1.2790868635996347e-10
G6,514,3-12,right,0.35069864222228236,0.9999997200063238,2.5361929234249358e-05,10,0.35050611613292243,0.00019252608935993454,1.2790868635996347e-10
G6,1026,2-8,left,0.370488208719968,0.9983570796282111,0.045428574660391935,7,0.35050611613292243,0.019982092587045586,1.1172121733858034e-10
G6,1026,2-8,right,0.35146255888670275,0.9999961495788985,0.00011788060421800482,7,0.35050611613292243,0.0009564427537803177,1.1172121733858034e-10
G6,1026,2-10,left,0.3635080601916475,0.9989494539569941,0.06461661541945218,9,0.35050611613292243,0.013001944058725068,1.1172121733858034e-10
G6,1026,2-10,right,0.35113225365901557,0.9999974930469274,0.00016476070571916853,9,0.35050611613292243,0.0006261375260931401,1.1172121733858034e-10
G6,1026,2-12,left,0.35960645693449295,0.9993045971850101,0.08006929262543927,11,0.35050611613292243,0.009100340801570517,1.1172121733858034e-10
G6,1026,2-12,right,0.3509455839228169,0.9999983228904121,0.00020227917089941496,11,0.35050611613292243,0.00043946778989445434,1.1172121733858034e-10
G6,1026,3-10,left,0.35627141632240783,0.9998210578354984,0.008006664623700213,8,0.35050611613292243,0.005765300189485401,1.1172121733858034e-10
G6,1026,3-10,right,0.35077197118449627,0.9999996264758432,1.721768722548551e-05,8,0.35050611613292243,0.0002658550515738378,1.1172121733858034e-10
G6,1026,3-12,left,0.3544174035806585,0.9998833913274427,0.010352075142130091,10,0.35050611613292243,0.003911287447736056,1.1172121733858034e-10
G6,1026,3-12,right,0.35068652632355113,0.9999997534851358,2.2330877986643134e-05,10,0.35050611613292243,0.00018041019062869923,1.1172121733858034e-10
G10,254,2-8,left,0.26267970811127866,0.9988625038948756,0.0569833525140469,7,0.2585020646331717,0.004177643478106952,1.6671522333721857e-07
G10,254,2-8,right,0.2610163278777794,0.9999809691553094,0.0009613639324179222,7,0.2585020646331717,0.002514263244607684,1.6671522333721857e-07
G10,254,2-10,left,0.26263647262164447,0.9994680777756859,0.0570798945609082,9,0.2585020646331717,0.004134407988472755,1.6671522333721857e-07
G10,254,2-10,right,0.2602009624717761,0.9999863699182865,0.0014823131969154176,9,0.2585020646331717,0.0016988978386043851,1.6671522333721857e-07
G10,254,2-12,left,0.26198831902229125,0.9997065178903941,0.05793730405797948,11,0.2585020646331717,0.0034862543891195363,1.6671522333721857e-07
G10,254,2-12,right,0.2597231505988441,0.9999903456159691,0.0019301488679560786,11,0.2585020646331717,0.001221085965672386,1.6671522333721857e-07
G10,254,3-10,left,0.2673394643004731,0.9998224701565085,0.012979046042377046,8,0.2585020646331717,0.008837399667301404,1.6671522333721857e-07
G10,254,3-10,right,0.2594307083982448,0.9999967060889182,0.00025185901972653,8,0.2585020646331717,0.0009286437650730672,1.6671522333721857e-07
G10,254,3-12,left,0.2647736567962188,0.9998556698371928,0.02103028846287168,10,0.2585020646331717,0.006271592163047068,1.6671522333721857e-07
