period,separation,normalized_separation,q_bits,primitive_q_period,primitive_tau_period,repeated_target,R_squared_estimate,gap_from_eta,gap_from_8,certificate_status,first_positive_moment
8,1,0.125,11000000,8,8,False,9.906317075994702,2.102091010814087,1.9063170759947017,CERTIFIED_R_GT_ETA,4
8,2,0.25,10100000,8,8,False,8.741808532178895,0.9375824669982809,0.7418085321788954,CERTIFIED_R_GT_ETA,6
8,3,0.375,10010000,8,8,False,8.67888773155076,0.8746616663701463,0.6788877315507609,CERTIFIED_R_GT_ETA,
8,4,0.5,10001000,4,8,True,7.804226065180642,2.7533531010703882e-14,-0.1957739348193579,CERTIFIED_R_EQ_ETA,
10,1,0.1,1100000000,10,10,False,9.784510343045053,1.9802842778644383,1.7845103430450528,CERTIFIED_R_GT_ETA,4
10,2,0.2,1010000000,10,10,False,8.531128874149289,0.7269028089686742,0.5311288741492888,CERTIFIED_R_GT_ETA,7
10,3,0.3,1001000000,10,10,False,8.381641738566058,0.5774156733854436,0.3816417385660582,CERTIFIED_R_GT_ETA,
10,4,0.4,1000100000,10,10,False,7.91638155174498,0.11215548656436525,-0.08361844825502018,CERTIFIED_R_GT_ETA,
10,5,0.5,1000010000,5,5,False,9.00000000000001,1.195773934819396,1.0000000000000107,CERTIFIED_R_GT_ETA,8
12,1,0.08333333333333333,110000000000,12,12,False,9.645393828136363,1.8411677629557488,1.6453938281363634,CERTIFIED_R_GT_ETA,4
12,2,0.16666666666666666,101000000000,12,12,False,8.52531259211366,0.7210865269330462,0.5253125921136608,CERTIFIED_R_GT_ETA,7
12,3,0.25,100100000000,12,12,False,8.420421632426882,0.6161955672462671,0.4204216324268817,CERTIFIED_R_GT_ETA,
12,4,0.3333333333333333,100010000000,12,12,False,7.935544897091367,0.1313188319107521,-0.06445510290863332,CERTIFIED_R_GT_ETA,
12,5,0.4166666666666667,100001000000,12,12,False,8.742437468479546,0.938211403298931,0.7424374684795456,CERTIFIED_R_GT_ETA,
12,6,0.5,100000100000,6,12,False,8.249140538129556,0.44491447294894115,0.24914053812955572,CERTIFIED_R_GT_ETA,
14,1,0.07142857142857142,11000000000000,14,14,False,9.584034086997924,1.7798080218173098,1.5840340869979244,CERTIFIED_R_GT_ETA,4
14,2,0.14285714285714285,10100000000000,14,14,False,8.470548847226684,0.6663227820460698,0.47054884722668433,CERTIFIED_R_GT_ETA,8
14,3,0.21428571428571427,10010000000000,14,14,False,8.35973160089757,0.5555055357169554,0.35973160089756995,CERTIFIED_R_GT_ETA,
14,4,0.2857142857142857,10001000000000,14,14,False,7.963470219460301,0.15924415427968608,-0.03652978053969935,CERTIFIED_R_GT_ETA,
14,5,0.35714285714285715,10000100000000,14,14,False,8.725422091603201,0.9211960264225869,0.7254220916032015,CERTIFIED_R_GT_ETA,
14,6,0.42857142857142855,10000010000000,14,14,False,8.167797177672629,0.36357111249201424,0.1677971776726288,CERTIFIED_R_GT_ETA,
14,7,0.5,10000001000000,7,7,False,8.528253177607919,0.7240271124273043,0.5282531776079189,CERTIFIED_R_GT_ETA,
16,1,0.0625,1100000000000000,16,16,False,9.53817459913893,1.7339485339583156,1.5381745991389302,CERTIFIED_R_GT_ETA,5
16,2,0.125,1010000000000000,16,16,False,8.447555673441935,0.64332960826132,0.4475556734419346,CERTIFIED_R_GT_ETA,8
16,3,0.1875,1001000000000000,16,16,False,8.345210292646234,0.5409842274656196,0.34521029264623415,CERTIFIED_R_GT_ETA,
16,4,0.25,1000100000000000,16,16,False,7.995510103071575,0.19128403789096016,-0.004489896928425274,CERTIFIED_R_GT_ETA,
16,5,0.3125,1000010000000000,16,16,False,8.657265887369583,0.8530398221889683,0.6572658873695829,CERTIFIED_R_GT_ETA,
16,6,0.375,1000001000000000,16,16,False,8.204013597186833,0.3997875320062185,0.2040135971868331,CERTIFIED_R_GT_ETA,
16,7,0.4375,1000000100000000,16,16,False,8.53066128789585,0.7264352227152351,0.5306612878958497,CERTIFIED_R_GT_ETA,
16,8,0.5,1000000010000000,8,16,False,8.12118703896113,0.3169609737805157,0.12118703896113026,CERTIFIED_R_GT_ETA,
18,1,0.05555555555555555,110000000000000000,18,18,False,9.512917648882626,1.7086915837020111,1.5129176488826257,CERTIFIED_R_GT_ETA,5
18,2,0.1111111111111111,101000000000000000,18,18,False,8.42337405130998,0.6191479861293647,0.4233740513099793,CERTIFIED_R_GT_ETA,
18,3,0.16666666666666666,100100000000000000,18,18,False,8.322273830970722,0.5180477657901079,0.3222738309707225,CERTIFIED_R_GT_ETA,
18,4,0.2222222222222222,100010000000000000,18,18,False,8.010804712050895,0.20657864687028038,0.010804712050894949,CERTIFIED_R_GT_ETA,
18,5,0.2777777777777778,100001000000000000,18,18,False,8.628380749618522,0.8241546844379073,0.6283807496185219,CERTIFIED_R_GT_ETA,
18,6,0.3333333333333333,100000100000000000,18,18,False,8.193582776828956,0.3893567116483414,0.19358277682895597,CERTIFIED_R_GT_ETA,
18,7,0.3888888888888889,100000010000000000,18,18,False,8.477098424379117,0.672872359198502,0.47709842437911654,CERTIFIED_R_GT_ETA,
18,8,0.4444444444444444,100000001000000000,18,18,False,8.162909949753065,0.35868388457245004,0.1629099497530646,CERTIFIED_R_GT_ETA,
18,9,0.5,100000000100000000,9,9,False,8.528253177607924,0.7240271124273097,0.5282531776079242,CERTIFIED_R_GT_ETA,
20,1,0.05,11000000000000000000,20,20,False,9.496523677462601,1.6922976122819868,1.4965236774626014,CERTIFIED_R_GT_ETA,5
20,2,0.1,10100000000000000000,20,20,False,8.407096060464795,0.6028699952841805,0.4070960604647951,CERTIFIED_R_GT_ETA,
