stage,label,remaining,evidence_status
0,"legal p=17,...,24 dihedral orbits",370100,EXACT_FINITE_DATA
1,after exact moment exclusion,184,COMPUTER_ASSISTED_PROVED
2,after exact Hankel hierarchy through m=5,1,COMPUTER_ASSISTED_PROVED
