special_gaps,charges,n,defect_count,alpha,rho_squared,positive_interface_cluster_squared,effective_matrix_squared,effective_reconstruction_error,evidence_status
"[6, 6]","[2, 2]",260,64,-1,7.905369311620332,"[7.905369311620324, 7.905369311620329]","[[7.905369311620326, 5.358124380715456e-22], [6.3228965980641055e-22, 7.9053693116203325]]",3.552713678800501e-15,DETERMINISTIC_DOUBLE_EFFECTIVE_SUBSPACE
"[6, 6, 6]","[2, 2, 2]",262,64,1,7.9053748847239085,"[7.9053634489079645, 7.9053695980913865, 7.905374884723906]","[[7.905369311423172, -1.1797980381771699e-06, 7.147353565423376e-07], [-1.179798038177365e-06, 7.905369308882978, 5.554610593322443e-06], [7.147353565422955e-07, 5.554610593323395e-06, 7.9053693114170915]]",8.881784197001252e-15,DETERMINISTIC_DOUBLE_EFFECTIVE_SUBSPACE
"[6, 6, 6, 6]","[2, 2, 2, 2]",264,64,-1,7.905407971346124,"[7.905330529820322, 7.905330529820332, 7.905407971346124, 7.905407971346134]","[[7.90536920628585, -2.7379687951511154e-05, 2.2655413160694117e-08, 2.7379694881697352e-05], [-2.737968795151403e-05, 7.905369250076462, -2.73797311257681e-05, -2.214868177031368e-08], [2.2655413160700473e-08, -2.737973112577226e-05, 7.905369250583252, -2.7379687541598615e-05], [2.7379694881700388e-05, -2.2148681770312448e-08, -2.7379687541598778e-05, 7.905369295387338]]",5.329070518200751e-15,DETERMINISTIC_DOUBLE_EFFECTIVE_SUBSPACE
[10],[6],262,64,1,7.977104370400552,[7.977104370400541],[[7.9771043704005455]],4.440892098500626e-15,DETERMINISTIC_DOUBLE_EFFECTIVE_SUBSPACE
"[8, 6]","[4, 2]",262,64,-1,7.929791634046742,"[7.905369311620322, 7.9297916340467465]","[[7.92979163404673, 6.4794794526439905e-09], [6.479479452642913e-09, 7.90536931162033]]",1.509903313490213e-14,DETERMINISTIC_DOUBLE_EFFECTIVE_SUBSPACE
"[2, 10]","[-2, 6]",260,64,1,8.080985802104266,"[7.977104370400549, 8.080985802104271]","[[7.977104370400548, -3.723868737629704e-12], [-3.723868737626296e-12, 8.080985802104275]]",3.552713678800501e-15,DETERMINISTIC_DOUBLE_EFFECTIVE_SUBSPACE
[8],[4],260,64,-1,7.929791634046742,[7.929791634046749],[[7.929791634046736]],1.3322676295501878e-14,DETERMINISTIC_DOUBLE_EFFECTIVE_SUBSPACE
[6],[2],258,64,1,7.905369311620324,[7.905369311620322],[[7.905369311620331]],8.881784197001252e-15,DETERMINISTIC_DOUBLE_EFFECTIVE_SUBSPACE
