n,bulk_cells,closure_tail_cells,R_squared,c,error,mu,exponent,normalized_error,solver,precision,residual,evidence_status
30,3,3,7.975218346290206,7.977104370400546,-0.001886024110340223,0.2585020646331717,3,0.10918304244086784,dense eigvalsh,double,1e-14,RESOLVED_DOUBLE_ERROR
38,4,4,7.9765559220500935,7.977104370400546,-0.0005484483504529791,0.2585020646331717,4,0.12282299127785919,dense eigvalsh,double,1e-14,RESOLVED_DOUBLE_ERROR
46,5,5,7.976954345382849,7.977104370400546,-0.00015002501769778576,0.2585020646331717,5,0.1299701457894663,dense eigvalsh,double,1e-14,RESOLVED_DOUBLE_ERROR
54,6,6,7.9770645277643375,7.977104370400546,-3.9842636208931026e-05,0.2585020646331717,6,0.13352542511254592,dense eigvalsh,double,1e-14,RESOLVED_DOUBLE_ERROR
62,7,7,7.977093938432006,7.977104370400546,-1.04319685405585e-05,0.2585020646331717,7,0.13524404634947865,dense eigvalsh,double,1e-14,RESOLVED_DOUBLE_ERROR
70,8,8,7.977101657438403,7.977104370400546,-2.712962143824882e-06,0.2585020646331717,8,0.13606035658367605,dense eigvalsh,double,1e-14,RESOLVED_DOUBLE_ERROR
78,9,9,7.977103667117824,7.977104370400546,-7.032827227249072e-07,0.2585020646331717,9,0.1364437991288294,dense eigvalsh,double,1e-14,RESOLVED_DOUBLE_ERROR
86,10,10,7.977104188362199,7.977104370400546,-1.8203834706298494e-07,0.2585020646331717,10,0.13662265546279403,dense eigvalsh,double,1e-14,RESOLVED_DOUBLE_ERROR
94,11,11,7.977104323314657,7.977104370400546,-4.708588985380402e-08,0.2585020646331717,11,0.13670569435168856,dense eigvalsh,double,1e-14,RESOLVED_DOUBLE_ERROR
102,12,12,7.977104358225321,7.977104370400546,-1.2175225272414991e-08,0.2585020646331717,12,0.13674416766566175,dense eigvalsh,double,1e-14,RESOLVED_DOUBLE_ERROR
110,13,13,7.977104367252823,7.977104370400546,-3.1477238593424772e-09,0.2585020646331717,13,0.1367616766532695,dense eigvalsh,double,1e-14,RESOLVED_DOUBLE_ERROR
118,14,14,7.977104369586803,7.977104370400546,-8.137437390587365e-10,0.2585020646331717,14,0.13677018504674704,dense eigvalsh,double,1e-14,RESOLVED_DOUBLE_ERROR
126,15,15,7.977104370190189,7.977104370400546,-2.1035706510019736e-10,0.2585020646331717,15,0.13677189405035906,dense eigvalsh,double,1e-14,RESOLVED_DOUBLE_ERROR
134,16,16,7.977104370346171,7.977104370400546,-5.437517103246137e-11,0.2585020646331717,16,0.13676544350526726,dense eigvalsh,double,1e-14,RESOLVED_DOUBLE_ERROR
254,31,31,7.977104370400549,7.977104370400546,2.6645352591003757e-15,0.2585020646331717,31,,dense eigvalsh,double,1e-14,BELOW_DOUBLE_RESOLUTION
510,63,63,7.9771043704005535,7.977104370400546,7.105427357601002e-15,0.2585020646331717,63,,dense eigvalsh,double,1e-14,BELOW_DOUBLE_RESOLUTION
1022,127,127,7.977104370400546,7.977104370400546,0.0,0.2585020646331717,127,,deterministic sparse A^2 power iteration,double,1.9632119809448047e-10,BELOW_DOUBLE_RESOLUTION
