route,family,n,orientation,cut_shift_bulk_cells,finite_ring_R_squared,difference_from_reference,Evans_constant,evidence_status,transfer_cut_margin,Evans_root_squared,stable_multiplier_moduli,precision_digits
finite_ring_dense_sparse,G6,258,forward,0,7.905369311620327,0.0,7.90536931162032701197627927980427398748634897435095307657228078569266921671007864162074782247881828267387081039866136101670038968120158998084957272613921381060505108250546930391235989038842461605938382657529541,DENSE_SPARSE_AND_EVANS_CROSSCHECK,,,,
finite_ring_dense_sparse,G6,258,forward,1,7.905369311620327,0.0,7.90536931162032701197627927980427398748634897435095307657228078569266921671007864162074782247881828267387081039866136101670038968120158998084957272613921381060505108250546930391235989038842461605938382657529541,DENSE_SPARSE_AND_EVANS_CROSSCHECK,,,,
finite_ring_dense_sparse,G6,258,forward,2,7.905369311620327,0.0,7.90536931162032701197627927980427398748634897435095307657228078569266921671007864162074782247881828267387081039866136101670038968120158998084957272613921381060505108250546930391235989038842461605938382657529541,DENSE_SPARSE_AND_EVANS_CROSSCHECK,,,,
finite_ring_dense_sparse,G6,258,forward,3,7.905369311620327,0.0,7.90536931162032701197627927980427398748634897435095307657228078569266921671007864162074782247881828267387081039866136101670038968120158998084957272613921381060505108250546930391235989038842461605938382657529541,DENSE_SPARSE_AND_EVANS_CROSSCHECK,,,,
finite_ring_dense_sparse,G6,258,reverse,0,7.905369311620327,0.0,7.90536931162032701197627927980427398748634897435095307657228078569266921671007864162074782247881828267387081039866136101670038968120158998084957272613921381060505108250546930391235989038842461605938382657529541,DENSE_SPARSE_AND_EVANS_CROSSCHECK,,,,
finite_ring_dense_sparse,G6,258,reverse,1,7.905369311620327,0.0,7.90536931162032701197627927980427398748634897435095307657228078569266921671007864162074782247881828267387081039866136101670038968120158998084957272613921381060505108250546930391235989038842461605938382657529541,DENSE_SPARSE_AND_EVANS_CROSSCHECK,,,,
finite_ring_dense_sparse,G6,258,reverse,2,7.905369311620327,0.0,7.90536931162032701197627927980427398748634897435095307657228078569266921671007864162074782247881828267387081039866136101670038968120158998084957272613921381060505108250546930391235989038842461605938382657529541,DENSE_SPARSE_AND_EVANS_CROSSCHECK,,,,
finite_ring_dense_sparse,G6,258,reverse,3,7.905369311620327,0.0,7.90536931162032701197627927980427398748634897435095307657228078569266921671007864162074782247881828267387081039866136101670038968120158998084957272613921381060505108250546930391235989038842461605938382657529541,DENSE_SPARSE_AND_EVANS_CROSSCHECK,,,,
finite_ring_dense_sparse,G10,254,forward,0,7.977104370400546,0.0,7.97710437040054651536282158321569313157242874229971217071861824688286700159831442416121183282171744889019159641587526640972192130937069888458278880406858290322738685446015833518674069652411556769153154683857963,DENSE_SPARSE_AND_EVANS_CROSSCHECK,,,,
finite_ring_dense_sparse,G10,254,forward,1,7.977104370400546,0.0,7.97710437040054651536282158321569313157242874229971217071861824688286700159831442416121183282171744889019159641587526640972192130937069888458278880406858290322738685446015833518674069652411556769153154683857963,DENSE_SPARSE_AND_EVANS_CROSSCHECK,,,,
