family,gap,n,m,alpha,rho_squared,iterations,residual_A2,dense_rho_squared,dense_sparse_difference
G10,10,94,10,1,7.97710432331465,844,1.996362335399417e-10,7.977104323314657,6.217248937900877e-15
G10,10,102,11,1,7.977104358225317,848,1.9883651408013297e-10,7.977104358225321,4.440892098500626e-15
G10,10,110,12,1,7.977104367252815,852,1.9556156653262928e-10,7.977104367252823,7.993605777301127e-15
G10,10,126,14,1,7.977104370190188,848,1.9840914736592896e-10,7.977104370190189,1.7763568394002505e-15
G10,10,142,16,1,7.977104370386488,845,1.9594498429559786e-10,,
G10,10,190,22,1,7.977104370400541,857,1.9862616768599963e-10,,
G10,10,238,28,1,7.977104370400549,855,1.9880291369776218e-10,,
G10,10,254,30,1,7.977104370400546,853,1.9847451626866742e-10,,
G10,10,286,34,1,7.977104370400548,864,1.9753484911680921e-10,,
G10,10,334,40,1,7.977104370400546,862,1.9870577771736284e-10,,
G10,10,382,46,1,7.977104370400548,863,1.9618527249724443e-10,,
G10,10,430,52,1,7.977104370400546,867,1.9973749662884398e-10,,
G10,10,478,58,1,7.977104370400546,865,1.9818293534001776e-10,,
G10,10,510,62,1,7.977104370400547,871,1.9998700623609272e-10,,
G10,10,526,64,1,7.9771043704005455,873,1.997317795830935e-10,,
G10,10,574,70,1,7.977104370400546,870,1.9915675141988149e-10,,
G10,10,622,76,1,7.977104370400548,874,1.9671649207683258e-10,,
G10,10,670,82,1,7.977104370400546,874,1.9656157027968792e-10,,
G10,10,718,88,1,7.9771043704005455,873,1.9851944469182323e-10,,
G10,10,766,94,1,7.977104370400546,878,1.982440960998964e-10,,
G10,10,814,100,1,7.977104370400548,877,1.964013079970835e-10,,
G10,10,862,106,1,7.977104370400544,880,1.9718465091446695e-10,,
G10,10,910,112,1,7.9771043704005455,880,1.9866851356374206e-10,,
G10,10,958,118,1,7.9771043704005455,878,1.9928051763859296e-10,,
G10,10,1006,124,1,7.977104370400546,884,1.9538797410653863e-10,,
G10,10,1022,126,1,7.977104370400546,883,1.9632119809448047e-10,,
