n,residue_mod_16,alpha,separation_index,arc_vertices,complement_vertices,arc_bulk_cells,lambda_1,lambda_2,lambda_1_squared,lambda_2_squared,rho_squared,mean_interface_level_squared,level_splitting_squared,mean_gap_from_c6
68,4,1,4,22,46,4,2.811987764779202,2.8112375739847133,7.907275189267932,7.903056697383456,7.925742768779935,7.905165943325694,0.004218491884476094,-0.00020336829463296624
68,4,-1,5,26,42,5,2.812328648453058,2.810839831384399,7.9091924269098035,7.900820557697077,7.909192426909805,7.905006492303441,0.008371869212726146,-0.0003628193168863092
68,4,1,5,26,42,5,2.8125327498332022,2.8105861298669614,7.910340468884314,7.899394393400544,7.910340468884317,7.90486743114243,0.010946075483770024,-0.000501880477897565
68,4,-1,6,30,38,6,2.8120095393700724,2.811244150018147,7.907397649508287,7.903093671011255,7.912752313931334,7.905245660259771,0.004303978497032013,-0.00012365136055603188
68,4,1,6,30,38,6,2.81229034934909,2.810919181337491,7.908977009042027,7.901266644011031,7.913352980067792,7.905121826526528,0.00771036503099598,-0.0002474850937987938
68,4,-1,7,34,34,7,2.8116369611551733,2.8116369611551715,7.9053024013338975,7.905302401333887,7.905302401333902,7.905302401333892,1.0658141036401503e-14,-6.691028643501795e-05
68,4,1,7,34,34,7,2.8122434500140114,2.8109808300218555,7.90871322214671,7.90161322675036,7.90871322214671,7.905163224448534,0.007099995396349534,-0.00020608717179282365
76,12,-1,0,6,70,0,2.8309969939892925,2.79219295773304,8.01454397997641,7.796341513213982,8.06209503418949,7.905442746595197,0.2182024667624285,7.343497486989037e-05
76,12,1,0,6,70,0,2.830996029543006,2.79389261784139,8.014538519288266,7.805835960028616,8.062095536293334,7.910187239658441,0.20870255925964987,0.004817928038113983
76,12,-1,1,10,66,1,2.8128527998374953,2.8042902058438703,7.9121408735536365,7.864043558591857,7.9121408735536365,7.888092216072747,0.0480973149617796,-0.0172770955475805
76,12,1,1,10,66,1,2.8128601922649743,2.8042531377786113,7.912182461228948,7.863835660741187,7.912182461228948,7.888009060985068,0.048346800487760966,-0.017360250635259256
